[23:39:39.250] ADC:3861 voltage:3.11 V | magnetic field not detected
[23:39:39.756] ADC:3861 voltage:3.11 V | magnetic field not detected
[23:39:40.261] ADC:3869 voltage:3.12 V | magnetic field not detected
[23:39:40.765] ADC:3863 voltage:3.11 V | magnetic field not detected
[23:39:41.270] ADC:3866 voltage:3.12 V | magnetic field not detected
[23:39:41.775] ADC:3862 voltage:3.11 V | magnetic field not detected
[23:39:42.281] ADC:3867 voltage:3.12 V | magnetic field not detected
[23:39:42.785] ADC:3865 voltage:3.11 V | magnetic field not detected
[23:39:43.290] ADC:3865 voltage:3.11 V | magnetic field not detected
[23:39:43.794] ADC:3861 voltage:3.11 V | magnetic field not detected
[23:39:44.300] ADC:3867 voltage:3.12 V | magnetic field not detected
[23:39:44.805] ADC:3846 voltage:3.10 V | magnetic field not detected
[23:39:45.310] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:39:45.815] ADC:3842 voltage:3.10 V | magnetic field not detected
[23:39:46.320] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:39:46.825] ADC:3825 voltage:3.08 V | magnetic field not detected
[23:39:47.330] ADC:3794 voltage:3.06 V | magnetic field not detected
[23:39:47.835] ADC:3845 voltage:3.10 V | magnetic field not detected
[23:39:48.339] ADC:3877 voltage:3.12 V | magnetic field not detected
[23:39:48.845] ADC:3879 voltage:3.13 V | magnetic field not detected
[23:39:49.350] ADC:3877 voltage:3.12 V | magnetic field not detected
[23:39:49.854] ADC:3882 voltage:3.13 V | magnetic field not detected
[23:39:50.360] ADC:3886 voltage:3.13 V | magnetic field not detected
[23:39:50.864] ADC:3885 voltage:3.13 V | magnetic field not detected
[23:39:51.369] ADC:3886 voltage:3.13 V | magnetic field not detected
[23:39:51.874] ADC:3886 voltage:3.13 V | magnetic field not detected
[23:39:52.380] ADC:3891 voltage:3.14 V | magnetic field not detected
[23:39:52.884] ADC:3891 voltage:3.14 V | magnetic field not detected
[23:39:53.389] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:39:53.894] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:39:54.400] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:39:54.904] ADC:3889 voltage:3.13 V | magnetic field not detected
[23:39:55.409] ADC:3894 voltage:3.14 V | magnetic field not detected
[23:39:55.913] ADC:3893 voltage:3.14 V | magnetic field not detected
[23:39:56.419] ADC:3896 voltage:3.14 V | magnetic field not detected
[23:39:56.924] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:39:57.428] ADC:0 voltage:0.00 V | magnetic field   detected
[23:39:57.934] ADC:3895 voltage:3.14 V | magnetic field not detected
[23:39:58.438] ADC:0 voltage:0.00 V | magnetic field   detected
[23:39:58.944] ADC:3804 voltage:3.07 V | magnetic field not detected
[23:39:59.448] ADC:3809 voltage:3.07 V | magnetic field not detected
[23:39:59.953] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:40:00.459] ADC:3881 voltage:3.13 V | magnetic field not detected
[23:40:00.964] ADC:3849 voltage:3.10 V | magnetic field not detected
[23:40:01.469] ADC:3837 voltage:3.09 V | magnetic field not detected
[23:40:01.973] ADC:3876 voltage:3.12 V | magnetic field not detected
[23:40:02.478] ADC:3818 voltage:3.08 V | magnetic field not detected
[23:40:02.982] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:03.489] ADC:3839 voltage:3.09 V | magnetic field not detected
[23:40:03.993] ADC:3773 voltage:3.04 V | magnetic field not detected
[23:40:04.497] ADC:3809 voltage:3.07 V | magnetic field not detected
[23:40:05.003] ADC:3805 voltage:3.07 V | magnetic field not detected
[23:40:05.507] ADC:3792 voltage:3.06 V | magnetic field not detected
[23:40:06.018] ADC:3799 voltage:3.06 V | magnetic field not detected
[23:40:06.518] ADC:3808 voltage:3.07 V | magnetic field not detected
[23:40:07.022] ADC:3854 voltage:3.11 V | magnetic field not detected
[23:40:07.527] ADC:3799 voltage:3.06 V | magnetic field not detected
[23:40:08.033] ADC:3775 voltage:3.04 V | magnetic field not detected
[23:40:08.537] ADC:3780 voltage:3.05 V | magnetic field not detected
[23:40:09.042] ADC:3741 voltage:3.01 V | magnetic field not detected
[23:40:09.548] ADC:3787 voltage:3.05 V | magnetic field not detected
[23:40:10.053] ADC:3815 voltage:3.07 V | magnetic field not detected
[23:40:10.558] ADC:3770 voltage:3.04 V | magnetic field not detected
[23:40:11.062] ADC:3735 voltage:3.01 V | magnetic field not detected
[23:40:11.568] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:12.072] ADC:3804 voltage:3.07 V | magnetic field not detected
[23:40:12.577] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:13.082] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:13.587] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:14.092] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:14.597] ADC:3728 voltage:3.00 V | magnetic field not detected
[23:40:15.102] ADC:3769 voltage:3.04 V | magnetic field not detected
[23:40:15.607] ADC:3760 voltage:3.03 V | magnetic field not detected
[23:40:16.111] ADC:3746 voltage:3.02 V | magnetic field not detected
[23:40:16.616] ADC:3748 voltage:3.02 V | magnetic field not detected
[23:40:17.121] ADC:3754 voltage:3.03 V | magnetic field not detected
[23:40:17.626] ADC:3754 voltage:3.03 V | magnetic field not detected
[23:40:18.131] ADC:3757 voltage:3.03 V | magnetic field not detected
[23:40:18.637] ADC:3765 voltage:3.03 V | magnetic field not detected
[23:40:19.141] ADC:3759 voltage:3.03 V | magnetic field not detected
[23:40:19.647] ADC:3761 voltage:3.03 V | magnetic field not detected
[23:40:20.152] ADC:3762 voltage:3.03 V | magnetic field not detected
[23:40:20.657] ADC:3767 voltage:3.04 V | magnetic field not detected
[23:40:21.162] ADC:3754 voltage:3.03 V | magnetic field not detected
[23:40:21.667] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:22.170] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:22.675] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:23.182] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:23.685] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:24.191] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:24.696] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:25.200] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:25.706] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:26.210] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:26.716] ADC:0 voltage:0.00 V | magnetic field   detected
[23:40:27.221] ADC:3760 voltage:3.03 V | magnetic field not detected
[23:40:27.725] ADC:3791 voltage:3.06 V | magnetic field not detected
[23:40:28.230] ADC:3803 voltage:3.06 V | magnetic field not detected
[23:40:28.736] ADC:3806 voltage:3.07 V | magnetic field not detected
[23:40:29.240] ADC:3807 voltage:3.07 V | magnetic field not detected
[23:40:29.746] ADC:3801 voltage:3.06 V | magnetic field not detected
[23:40:30.250] ADC:3792 voltage:3.06 V | magnetic field not detected
[23:40:30.755] ADC:3794 voltage:3.06 V | magnetic field not detected
[23:40:35.805] dx{|||~|ADC:3796 voltage:3.06 V | magnetic field not detected
[23:40:36.317] ADC:3796 voltage:3.06 V | magnetic field not detected
[23:40:36.815] ADC:3797 voltage:3.06 V | magnetic field not detected
